job_id,company_name,job_title,location,job_url,company_domain
1,LECOM Health,Medical Records / Ward Clerk,"Erie County, PA",https://lecomhealth.com/jobs/medical-records-ward-clerk/,lecomhealth.com
2,State of Connecticut - OCME,Medical Records Clerk,"Farmington, CT",https://www.jobapscloud.com/CT/sup/BulPreview.asp?R1=250429&R2=6842CL&R3=001,ct.gov
3,Monument Health,HIM Technician II,"Rapid City, SD",https://monument.health/jobs/health-information-management-technician-ii/,monument.health
4,Main Line Health,HIM Record Integrity Specialist,"Newtown Square, PA",https://careerservices.ccp.edu/jobs/main-line-health-him-record-integrity-specialist/,mainlinehealth.org
5,Memorial Health,Epic Analyst III (Healthy Planet),"Springfield, IL",https://jobs.memorial.health/job/2025-31405/,memorial.health
